run_id,model_name,source,layer,comparison,left_group,right_group,centroid_cosine,centroid_cosine_divergence,left_norm,right_norm,norm_delta
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_direct_harmful,ijp,direct_harmful,0.7475576400756836,0.2524423599243164,44.40083312988281,53.31997299194336,-8.919139862060547
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_harmless,ijp,none,0.7559382915496826,0.24406170845031738,44.40083312988281,49.29391098022461,-4.893077850341797
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_direct_harmful,pair,direct_harmful,0.787099301815033,0.21290069818496704,52.14353942871094,53.31997299194336,-1.1764335632324219
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_harmless,pair,none,0.8008778095245361,0.19912219047546387,52.14353942871094,49.29391098022461,2.849628448486328
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_direct_harmful,puzzler,direct_harmful,0.5049636960029602,0.4950363039970398,55.1751594543457,53.31997299194336,1.8551864624023438
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_harmless,puzzler,none,0.4558248221874237,0.5441751778125763,55.1751594543457,49.29391098022461,5.881248474121094
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_direct_harmful,saa,direct_harmful,0.300371915102005,0.699628084897995,69.02674102783203,53.31997299194336,15.706768035888672
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_harmless,saa,none,0.27323117852211,0.72676882147789,69.02674102783203,49.29391098022461,19.732830047607422
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_direct_harmful,zulu,direct_harmful,0.6308560371398926,0.3691439628601074,47.574947357177734,53.31997299194336,-5.745025634765625
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,15,attack_vs_harmless,zulu,none,0.5621940493583679,0.4378059506416321,47.574947357177734,49.29391098022461,-1.718963623046875
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,label_1_vs_label_0,label_1,label_0,0.782438337802887,0.21756166219711304,41.72394943237305,52.55997848510742,-10.836029052734375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,direct_harmful_vs_harmless,direct_harmful,none,0.7691610455513,0.23083895444869995,61.70458984375,52.722145080566406,8.982444763183594
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,autodan,direct_harmful,0.7150455117225647,0.2849544882774353,50.31732940673828,61.70458984375,-11.387260437011719
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,autodan,none,0.7246219515800476,0.2753780484199524,50.31732940673828,52.722145080566406,-2.404815673828125
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,base64,direct_harmful,0.591080367565155,0.40891963243484497,59.5069465637207,61.70458984375,-2.197643280029297
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,base64,none,0.5730786919593811,0.4269213080406189,59.5069465637207,52.722145080566406,6.784801483154297
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,drattack,direct_harmful,0.5387750267982483,0.4612249732017517,57.37616729736328,61.70458984375,-4.328422546386719
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,drattack,none,0.6036531925201416,0.3963468074798584,57.37616729736328,52.722145080566406,4.654022216796875
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,gcg,direct_harmful,0.625523567199707,0.37447643280029297,44.36838150024414,61.70458984375,-17.33620834350586
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,gcg,none,0.5776965022087097,0.4223034977912903,44.36838150024414,52.722145080566406,-8.353763580322266
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,ijp,direct_harmful,0.7307009100914001,0.26929908990859985,44.70416259765625,61.70458984375,-17.00042724609375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,ijp,none,0.7487249374389648,0.25127506256103516,44.70416259765625,52.722145080566406,-8.017982482910156
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,pair,direct_harmful,0.7981329560279846,0.20186704397201538,56.66132736206055,61.70458984375,-5.043262481689453
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,pair,none,0.8126068711280823,0.18739312887191772,56.66132736206055,52.722145080566406,3.9391822814941406
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,puzzler,direct_harmful,0.4469355642795563,0.5530644357204437,56.78841018676758,61.70458984375,-4.916179656982422
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,puzzler,none,0.40808194875717163,0.5919180512428284,56.78841018676758,52.722145080566406,4.066265106201172
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,saa,direct_harmful,0.2899855375289917,0.7100144624710083,70.67152404785156,61.70458984375,8.966934204101562
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,saa,none,0.26693809032440186,0.7330619096755981,70.67152404785156,52.722145080566406,17.949378967285156
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_direct_harmful,zulu,direct_harmful,0.6685765385627747,0.33142346143722534,52.02922821044922,61.70458984375,-9.675361633300781
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,16,attack_vs_harmless,zulu,none,0.593953013420105,0.406046986579895,52.02922821044922,52.722145080566406,-0.6929168701171875
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,label_1_vs_label_0,label_1,label_0,0.753975510597229,0.246024489402771,41.55204391479492,52.63375473022461,-11.081710815429688
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,direct_harmful_vs_harmless,direct_harmful,none,0.7385227084159851,0.2614772915840149,60.45949172973633,52.896522521972656,7.562969207763672
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,autodan,direct_harmful,0.7023885846138,0.29761141538619995,51.376670837402344,60.45949172973633,-9.082820892333984
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,autodan,none,0.6980134844779968,0.3019865155220032,51.376670837402344,52.896522521972656,-1.5198516845703125
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,base64,direct_harmful,0.5436446070671082,0.45635539293289185,57.20351791381836,60.45949172973633,-3.2559738159179688
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,base64,none,0.5279532074928284,0.47204679250717163,57.20351791381836,52.896522521972656,4.306995391845703
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,drattack,direct_harmful,0.4870397746562958,0.5129602253437042,58.268646240234375,60.45949172973633,-2.190845489501953
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,drattack,none,0.5562413930892944,0.44375860691070557,58.268646240234375,52.896522521972656,5.372123718261719
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,gcg,direct_harmful,0.6298839449882507,0.37011605501174927,47.092041015625,60.45949172973633,-13.367450714111328
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,gcg,none,0.570292592048645,0.429707407951355,47.092041015625,52.896522521972656,-5.804481506347656
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,ijp,direct_harmful,0.7109872102737427,0.2890127897262573,45.282047271728516,60.45949172973633,-15.177444458007812
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,ijp,none,0.7216382622718811,0.2783617377281189,45.282047271728516,52.896522521972656,-7.614475250244141
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,pair,direct_harmful,0.7744390964508057,0.22556090354919434,55.89188003540039,60.45949172973633,-4.5676116943359375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,pair,none,0.7864800095558167,0.21351999044418335,55.89188003540039,52.896522521972656,2.9953575134277344
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,puzzler,direct_harmful,0.46721217036247253,0.5327878296375275,60.805660247802734,60.45949172973633,0.34616851806640625
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,puzzler,none,0.4087453782558441,0.5912546217441559,60.805660247802734,52.896522521972656,7.909137725830078
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,saa,direct_harmful,0.25726163387298584,0.7427383661270142,71.90029907226562,60.45949172973633,11.440807342529297
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,saa,none,0.23338840901851654,0.7666115909814835,71.90029907226562,52.896522521972656,19.00377655029297
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_direct_harmful,zulu,direct_harmful,0.6578270196914673,0.3421729803085327,52.90618133544922,60.45949172973633,-7.553310394287109
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,17,attack_vs_harmless,zulu,none,0.5682710409164429,0.43172895908355713,52.90618133544922,52.896522521972656,0.0096588134765625
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,label_1_vs_label_0,label_1,label_0,0.7575445175170898,0.24245548248291016,44.34138107299805,54.334835052490234,-9.993453979492188
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,direct_harmful_vs_harmless,direct_harmful,none,0.7385042905807495,0.2614957094192505,64.43401336669922,54.55216598510742,9.881847381591797
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,autodan,direct_harmful,0.708386242389679,0.29161375761032104,54.217796325683594,64.43401336669922,-10.216217041015625
